# prefix,country_code,region_code,city,postal
193.233.74.0/24,FI,FI-18,Helsinki,00100
193.233.75.0/24,DE,DE-HE,Frankfurt,60313
193.233.80.0/24,DE,DE-HE,Frankfurt,60313
193.233.164.0/24,DE,DE-HE,Frankfurt,60313

91.108.226.0/24,DE,DE-HE,Frankfurt,60313
91.108.244.0/24,DE,DE-HE,Frankfurt,60313
91.108.227.0/24,DE,DE-HE,Frankfurt,60313
91.108.245.0/24,DE,DE-HE,Frankfurt,60313
91.108.246.0/24,DE,DE-HE,Frankfurt,60313
92.246.140.0/24,DE,DE-HE,Frankfurt,60313
92.246.141.0/24,DE,DE-HE,Frankfurt,60313
94.141.100.0/23,DE,DE-HE,Frankfurt,60313
94.141.102.0/23,DE,DE-HE,Frankfurt,60313
94.141.160.0/24,DE,DE-HE,Frankfurt,60313
94.141.161.0/24,DE,DE-HE,Frankfurt,60313

92.246.142.0/24,FI,FI-18,Helsinki,00100
92.246.143.0/24,FI,FI-18,Helsinki,00100

91.108.247.0/24,SE,SE-AB,Stockholm,

185.103.100.0/24,DE,DE-HE,Frankfurt,60313
185.103.101.0/24,DE,DE-HE,Frankfurt,60313
185.103.102.0/24,FI,FI-18,Helsinki,00100
185.103.103.0/24,SE,SE-AB,Stockholm,

147.45.66.0/24,DE,DE-HE,Frankfurt,60313
147.45.67.0/24,RU,MSK,Moscow,117485

147.45.193.0/24,FI,FI-18,Helsinki,00100

2a0f:cdc6:10::/44,DE,DE-HE,Frankfurt,60313
2a0f:cdc6:20::/44,FI,FI-18,Helsinki,00100
2a0f:cdc6:30::/44,PL,,,

2a0a:6044:9000::/36,DE,DE-HE,Frankfurt,60313
